sign	date	prediction
geminis	2019-01-02	 Estás a punto de iniciar una etapa de prosperidad económica en la que el trabajo será tu principal aliado. Dedicarás muchas horas a hacer lo que te gusta, pero esto te podría acarrear ciertos problemas en lo personal. Intenta encontrar el equilibrio sin dejar de lado lo que te gusta.
cancer	2019-01-02	 Debes abandonar, para siempre, ciertas preocupaciones que te han acosado en el último año. No puedes hacer nada para resolver el pasado, pero sí puedes abrir los brazos ante un futuro que puede ser prometedor y venir cargado de buenas oportunidades.
leo	2019-01-02	 Hoy podrían darte una noticia emocionante que te alegraría profundamente el día. No te guardes el secreto: compártelo con todas las personas a las que quieres. Estás en tu mejor momento personal y profesional y seguirás en esa ola de éxito siempre y cuando sigas dando lo mejor de ti.
virgo	2019-01-02	 Algunas cosas de tu vida íntima podrían cambiar en este mes, pero los cambios no deben asustarte: serán tranquilos y sin grandes sobresaltos. Es importante que sigas apostando por una vida sana y que no retrocedas a lugares que sabes que no te hacen ningún bien. Mantente firme en eso.
libra	2019-01-02	 Uno de tus superiores estará muy pendiente de ti hoy en el trabajo y conviene que te esfuerces al máximo. El ascenso que deseas está cerca, pero no debes de olvidar cuáles son los objetivos de tu empresa en este momento. Evita disputas innecesarias entre compañeros que no te van a beneficiar en nada.
escorpio	2019-01-02	 Alguien podría contarte hoy un rumor con no muy buenas intenciones así que ándate con mucho cuidado y no te creas lo primero que escuches sin contrastarlo antes. No te comprometas con ningún amigo para ningún plan: vas a necesitar tiempo para ti.
sagitario	2019-01-02	 Puede que tú y tu pareja os estéis distanciando un poco desde hace algún tiempo o que sientas que ella cada vez se va alejando más. No puedes hacer nada por atraparla, pero sí puedes ofrecer tu mejor versión día a día. Lo mejor es que volváis a disfrutar juntos. Organiza algo especial.
capricornio	2019-01-02	 Va a ser un día de cambios positivos: puede que recibas una llamada que estabas esperando desde hace tiempo o que te confirmen una noticia. Ante todo, mantén la calma. No conviene que vayas contándolo a todo el mundo: sé prudente por esta vez.
acuario	2019-01-02	 Estarás más centrado en lo personal que en lo profesional al menos por unos días. Si alguien te da una noticia que no te gusta demasiado, no hagas un drama y confía en que será para bien. Aunque a veces no te des cuenta, la suerte está de tu lado en este momento.
piscis	2019-01-02	 Hoy será un gran día para ti a todos los niveles: en el trabajo al fin terminarás con éxito un proyecto en el que has trabajado mucho. En el amor, tu pareja estará particularmente cariñosa contigo y tú lo agradecerás mucho. Un buen amigo te mandará un mensaje para recordar. Disfruta de cada momento.  
aries	2019-01-03	 Si estás en un proceso de separación, ten paciencia: puede que hoy o en los próximos días tu ex dé su brazo a torcer en relación a algo que es importante para ti. En lo profesional están cerca nuevas oportunidades que no te dejarán indiferente. Mereces ser feliz.
tauro	2019-01-03	 Estás tomando un camino algo complicado en lo que se refiere a la relación con tu pareja. Es preferible que seas sincero y expongas qué es lo que quieres o esperas de ella. En la honestidad está la virtud: o eres claro o te quedarás esperando interminablemente. 
geminis	2019-01-03	 Alguien te pondrá sobre la mesa la propuesta de un viaje que podría cambiar tu vida de algún modo. Si ahora mismo no tienes mucho dinero, valora la posibilidad de reducir gastos durante un tiempo. En un artículo de prensa leerás algo que llamará tu atención. 
cancer	2019-01-03	 Estás exigiendo demasiado a tu pareja, pero ella no tiene por qué cumplir tus expectativas. Si sigues así podrías generar un problema que complicaría las cosas entre los dos. Es el momento de construir cosas nuevas desde el amor y la verdad. Haz tu apuesta de una manera inteligente.
leo	2019-01-03	 Meterás la pata con un amigo y no sabrás bien cómo rectificar. En los negocios las cosas van mejor que nunca, pero no debes relajarte: proponte seguir mejorando día a día y no dejarás de crecer. Tienes que escuchar tu voz interior para saber qué pasos ir dando. Escúchala y deja el ruido fuera.
virgo	2019-01-03	 Hoy estarás de lo más perezoso: te costará mucho trabajo hacer casi cualquier cosa y lo único que querrás es estar solo y a tu aire. Pero no puedes permitirte aislarte del mundo precisamente hoy, así que lo mejor es que te esfuerces por poner tu mejor sonrisa.
libra	2019-01-03	 Estás buscando algo en el lugar equivocado: debes rectificar cuanto antes y cambiar de rumbo o perderás un tiempo valioso y terminarás arrepintiéndote. No seas pretencioso y déjate asesorar por personas inteligentes. La vida te dará una nueva oportunidad.
escorpio	2019-01-03	 Descubre el potencial que hay en ti demostrándote a ti mismo que eres capaz de conseguir algo que has estado persiguiendo desde hace tiempo. Si otros pueden, tú puedes. Solo tienes que pasar a la acción y, desde hoy, hacer cosas diferentes. 
sagitario	2019-01-03	 No pierdas de vista tus verdaderos valores cuando un conocido te haga una propuesta que será golosa, pero que tal vez choque con algunos de tus principios. En el terreno familiar las cosas irán colocándose después de varios días de tontas discusiones. Respirarás en calma en este terreno.
capricornio	2019-01-03	 Sorprenderás a algunas personas con tu cambio de look, pero finalmente les gustará mucho. Estás muy activo y con muchas cosas que hacer últimamente, lo cual es muy bueno, pero tienes que poner orden entre tus prioridades. Mira bien cómo lo organizas todo. Será una buena jornada.
acuario	2019-01-03	 Si aún sigues de vacaciones, gasta tu tiempo como tú quieras y no permitas que los demás te digan lo que tienes que hacer. En el ámbito amoroso, es esencial que seas lo más valiente y sincero posible para evitar nuevos problemas entre tú y tu pareja. 
piscis	2019-01-03	 Estás pensando si hacer una nueva escapada antes de tu completa reincorporación al trabajo. Es cierto que has gastado mucho dinero, pero también lo es que puede que pase bastante tiempo hasta que surja una nueva oportunidad. Decide libremente.
aries	2019-01-04	 Todo el mundo te felicitará por el trabajo bien hecho y sentirás el apoyo de tus compañeros como no lo habías sentido hasta ahora. Si hay algo que aún te incomoda del pasado, no te lo guardes para ti y exprésalo. Estás empezando una nueva etapa y debes hacerlo sin cuentas pendientes. 
tauro	2019-01-04	 Hoy tendrás que tomar una decisión importante que será clave en la forma en la que transcurrirá tu propia vida. No te dejes influir por un amigo que te quiere mucho, pero que en este caso no sabrá aconsejarte bien. En el hogar tendrás que resolver un imprevisto. 
geminis	2019-01-04	 Estás algo preocupado por tus finanzas personales o por alguna inversión que hiciste en el pasado, pero ahora mismo no puedes hacer nada al respecto. Pronto alguien te pondrá sobre la mesa una clave práctica muy valiosa. Entre tanto, céntrate en lo tuyo.
cancer	2019-01-04	 Sería bueno que te vayas preparando para tomar una decisión cuando un amigo te plantee un problema del que ahora mismo no eres consciente. No hagas un drama: simplemente, enfócate en las soluciones. La vida te está esperando con los brazos abiertos y te ofrece perspectivas distintas.
leo	2019-01-04	 Aún no has encontrado el regalo de Reyes perfecto para una persona especial, pero si eres sincero reconocerás que no le has dedicado el suficiente tiempo. Dedícaselo y recibirás una recompensa. Sería bueno que le pongas límites al trabajo: te estás excediendo.
virgo	2019-01-04	 Has desperdiciado mucho tiempo haciendo algo que no te satisfacía y te has dado cuenta tarde de que ya no puedes recuperar ciertos momentos. No le des más vueltas: no puedes recuperar lo que ya pasó. Toma decisiones conscientes sobre el lugar al que quieres ir ahora. Tienes mucho por delante.
libra	2019-01-04	 Poner en orden tus cuentas y tus finanzas debería de ser, a partir de ahora, una prioridad para ti. Es cierto que nunca te han interesado demasiado los asuntos relacionados con el dinero, pero eso debe cambiar. Amplia tu perspectiva y aumentarán tus posibilidades.
escorpio	2019-01-04	 Estás algo desbordado en lo que se refiere a las relaciones sociales: demasiadas citas pendientes. Puede que un amigo se enfade cuando le digas que no a una propuesta, pero tú no tendrás la culpa. No le lleves la contraria: simplemente, espera a que se le pase. No es importante y se dará cuenta.
sagitario	2019-01-04	 Tendrás que capear como buenamente puedas un reto que te pondrá la vida en el momento menos inesperado. No será fácil, pero tú podrás con eso y mucho más. A veces te ves más pequeño de lo que eres y eso es solo tu percepción. Nadie es más que tú.
capricornio	2019-01-04	 Te sentirás pleno y en armonía, y al mismo tiempo tendrás muchas ganas de empezar nuevos proyectos que te resulten atractivos y te mantengan vivo. Estás en un gran momento y puede que despiertes envidias, pero no permitas que nadie te amargue el día porque nadie tiene derecho a hacerlo.
acuario	2019-01-04	 Si te presentan a alguien a lo largo del día de hoy, no compartas con él demasiada información privada. Podrías ser víctima de un engaño. Es preferible que seas cauto y te andes con cuidado y que no cometas el error que has cometido otras veces. Ojo con el egocentrismo.
piscis	2019-01-04	 Hoy comprobarás que las cosas están mejor en el trabajo de lo que te imaginabas. No tienes por qué renunciar a los objetivos que tenías hasta hace poco. Tal vez tengas que tener un poco más de paciencia, pero todo llegará si sigues dando los pasos adecuados.
aries	2019-01-05	 Asegúrate de que has comprado todos los regalos de reyes que querías comprar para este año: podrías estar olvidándote de alguien. Después de las fiestas, tendrás que decidir si es el momento propicio para formarte en unos estudios que podrían abrirte nuevas y muy interesantes puertas profesionales.
tauro	2019-01-05	 Alguien de tu entorno intentará que no te salgas con la tuya en un aspecto que te concierne solo a ti. No se lo permitas. Sentirás la necesidad interior de desconectar de la rutina y recargar las pilas a tu manera. Hazlo. La persona que menos esperas será quien te acompañe.
geminis	2019-01-05	 Desconfía totalmente de una persona que se mostrará repentinamente generosa contigo. Podría querer algo que tú posees. No te dejes adular y sé cauto. Solo los verdaderos amigos hacen las cosas de manera desinteresada, y no es el caso. Atento a sus movimientos, actitudes y palabras, y sobre todo a los hechos.
cancer	2019-01-05	 A veces te exiges demasiado y, peor aún, no eres consciente de todos los logros que has conseguido. Sé más indulgente contigo mismo particularmente hoy. Regálate lo que mereces y no escatimes, por esta vez, en gastos. Tu esfuerzo y dedicación merecen una recompensa.
leo	2019-01-05	 Hoy estarás más vulnerable de lo normal y todo a tu alrededor te afectará demasiado. Tienes la sensación de que no estás haciendo lo que quieres y eso te produce inquietud interior. Haz las paces con el presente: solo desde tu propia paz podrás avanzar hacia nuevos lugares.
virgo	2019-01-05	 Contrólate y no le digas a tu pareja lo primero que te venga a la cabeza: podrías fastidiarla. Analiza en soledad qué es lo que esperas de tu relación y habla con ella cuando tengas tus ideas claras. Si estás soltero, valorarás más que nunca tu propia independencia.
libra	2019-01-05	 Vivirás una noche de pasión que te transportará a lugares que aún no habías visitado. Déjate llevar por las emociones y no pongas freno a lo que acaba de nacer. No es el momento de proyectar en el futuro: solo vive el presente con la máxima intensidad y disfruta de lo que tienes en este momento.
escorpio	2019-01-05	 Esfuérzate hoy por ser tu mejor versión y no pierdas el tiempo con los chismes habituales con los que se entretienen algunas personas de tu entorno. Mañana recibirás una sorpresa que podría llegar a emocionarte. Es importante que seas agradecido con los demás.
sagitario	2019-01-05	 Desde hace semanas buscas sensaciones nuevas en el terreno sentimental, pero aún no has encontrado a la persona correcta. No tires la toalla: está a punto de aparecer y lo hará de la forma más inesperada. Deja atrás todos los prejuicios y céntrate en pasarlo bien.
capricornio	2019-01-05	 Hoy vivirás una noche de lo más divertida en la que conocerás a personas muy interesantes. Puede que alguien te sorprenda, pero conviene que no juzgues ni prejuzgues. Quien menos esperas podría convertirse, con el tiempo, en uno de tus mejores amigos.
acuario	2019-01-05	 Uno de tus propósitos para el nuevo año es gestionar mejor tu dinero, pero no has empezado lo que se dice con buen pie. Ándate hoy con especial cuidado: céntrate de nuevo en tu objetivo y no derroches en cosas que no tienen verdadero interés para ti.
piscis	2019-01-05	 Desde hace algún tiempo vienes coqueteando con una persona que no es tu pareja. No tienes por qué sentirte culpable, pero tampoco conviene que cultives nuevas relaciones que sabes que no te llevan a ningún sitio. Corta por lo sano y te sentirás en paz.
aries	2019-01-06	 Te sentirás algo decepcionado porque el día no transcurrirá tal y como esperabas, pero eso no tendrá que ser un problema si te abres a nuevas propuestas. En el momento menos pensado puede aparecer la persona que estás esperando: permanece atento a los acontecimientos.
tauro	2019-01-06	 A veces pareces ahogarte en un vaso de agua. La mayoría de tus problemas tienen fácil solución, pero estás tan obsesionado con un asunto en particular que no estás siendo capaz de ver las soluciones. Confía más en tus posibilidades y en la gente que te rodea y verás los resultados.
geminis	2019-01-06	 Te presentarán a alguien con quien conectarás inmediatamente. La química será evidente para todos los que estén a tu alrededor y eso te hará sentir incómodo por momentos. Pero tú no tienes que darle explicaciones a nadie. Puedes ser y hacer lo que quieras y sentirte como te de la gana.
cancer	2019-01-06	 Un pequeño problema con tu pareja desembocará en una gran discusión de la que solo saldréis de un modo amoroso si los dos ponéis mucho de vuestra parte. Te cuesta mucho trabajo dar tu brazo a torcer, pero esa actitud casi infantil no te está llevando a nada bueno.
leo	2019-01-06	 No te dejes influir por terceras personas en un asunto del que tú eres el único responsable. Haz caso a tu instinto, aunque otros te den opiniones negativas. Tus iniciativas de estos días tendrán éxito. Si te has marcado un objetivo, ponte manos a la obra sin pensar más ni escuchar críticas.
virgo	2019-01-06	 Sientes cierta inquietud por algunos rumores que están llegando a tus oídos sobre tu trabajo. Pero hoy es un día para relajarse: descansa un poco de ciertos pensamientos recurrentes que te están quitando el sueño. No se avecinan cambios a corto plazo.
libra	2019-01-06	 En las últimas semanas has tenido algunos excesos y tu salud ha quedado en un segundo plano. Aunque te resulta muy difícil llevar una dieta ordenada con tanta actividad social, debes priorizar y seguir una alimentación equilibrada. Recupera los buenos hábitos, te compensará.
escorpio	2019-01-06	 Te sientes atraído por una persona que parece muy interesada en ti, pero no te decides a dar el primer paso. Enfrenta la pereza y no dejes que te gane la partida. La vida te está esperando para que te pongas manos a la obra y no malgastes más tu tiempo. Hay muchas buenas cosas esperándote.
sagitario	2019-01-06	 Ciertos conflictos familiares aún no resueltos te están quitando el sueño. Sé valiente y afronta las cosas tal y como son y no dejes para mañana lo que puedas hacer hoy. Es más fácil arreglar las cosas de lo que crees: confía en ti y en quienes quieres porque te van a sorprender.
capricornio	2019-01-06	 La Luna nueva te influirá en todo y más si estás pendiente de realizar una venta que se te está resistiendo, reflexiona sobre qué es lo que está fallando y no te pongas nervioso. Un conocido podría darte hoy una pista: abre bien las orejas y escúchale. Hoy alguien te sorprenderá con una bella y agradable sorpresa.
acuario	2019-01-06	 Aunque ahora estés muy ocupado, no pierdas el contacto con las personas que han estado en tu vida en los buenos y malos momentos. Organiza una reunión de amigos y comprobarás cómo las cosas no han cambiado tanto como pensabas. Disfrutarás de lo lindo.
piscis	2019-01-06	 En las últimas semanas has perdido la noción del dinero y estás derrochando en exceso. Es hora de que controles tus gastos y precisamente este momento del año es idónea para ello: aunque te cueste, ponte a ello sin falta y tu economía saldrá muy beneficiada.
aries	2019-01-07	 Puede que tu situación laboral no sea la deseada en este preciso momento, pero no debes preocuparte: todo llegará si sigues esforzándote y caminas poco a poco hacia el lugar al que quieres llegar. Un amigo te animará y te dará todo el apoyo que necesitas. Haz que sienta tu agradecimiento.
tauro	2019-01-07	 Alguien podría decirte algo que tal vez llegue a ofenderte. Pero debes tener en cuenta que esas palabras vendrán de las frustraciones de esa persona. No debes permitir que un comentario desafortunado llegue a amargarte el día. Valórate lo suficiente y serás más feliz.
geminis	2019-01-07	 Debes retomar tus rutinas y hábitos saludables lo más rápido posible, sobre todo en lo que se refiere a la alimentación. Evita el alcohol durante unos días, cuida lo que comes y verás cómo tu cuerpo recupera toda la energía y vitalidad que ha perdido en los últimos días.
cancer	2019-01-07	 Un buen amigo te propondrá algo que tendrá que ver con el trabajo, pero no será una propuesta que te entre por los ojos en un primer momento. Sin embargo, debes mirarla con cariño y dejarla reposar unos días hasta que tomes una decisión que sea consciente. Evalúa bien los pros y los contras.
leo	2019-01-07	 Un asunto que te preocupa enormemente quedará solucionado de un momento a otro sin que tengas que hacer nada. Tendrás un encuentro casual con alguien que te dará una perspectiva nueva sobre un tema en el que creías tener una opinión muy formada. Ábrete a lo desconocido y deja que entre en tu vida algo nuevo. Te regeneras.
virgo	2019-01-07	 Un imprevisto podría cambiar tu organización del día pero será muy importante que te adaptes a las circunstancias. Si hoy tienes que firmar algo, revísalo muy bien. Debes comportarte hoy de un modo muy cauto y reflexivo o podrías cometer una imprudencia.
libra	2019-01-07	 Estás haciendo lo correcto en el momento correcto, pero a veces tienes dudas y eso te hace retroceder. Si has tenido asuntos con abogados o tienes pendiente algún proceso judicial o administrativo, tranquilo: todo saldrá bien. Vienen días de mucha incertidumbre, pero todo se resolverá de forma favorable.
escorpio	2019-01-07	 Un encuentro que tienes programado para hoy podría cancelarse en el último momento. Si es así, fluye con la situación y no te resistas a ella. Sacarás conclusiones muy valiosas. En el aspecto económico te conviene iniciar un plan de ahorro y no tener tantos caprichos.
sagitario	2019-01-07	 Nuevas oportunidades profesionales están a punto de llegar ante ti, pero antes debes formarte un poco más. Reflexiona sobre qué es lo que más te interesa y no pierdas el tiempo con cosas que no te gustan. Ha llegado el momento de que apuestes por tu pasión.
capricornio	2019-01-07	 Suelta el pasado y no caigas en la tentación de llamar a una persona que sabes que algunas veces te ha hecho demasiado daño. Lo pasado, pasado está: el presente te está esperando. Sé fuerte y no mires más atrás. Refúgiate en tus amistades cada vez que sea necesario.
acuario	2019-01-07	 Hace no mucho dejaste atrás una relación algo tormentosa que aún no tienes superada del todo. El problema no es lo que esa persona te hizo, sino lo que tú estás pensando acerca de esa persona. No permitas que nadie impida que puedas ser feliz.
piscis	2019-01-07	 Te sientes mal por algo que ha sucedido hace poco, pero no dejes que los pensamientos negativos te lleven por la calle de la amargura. Pon de tu parte para idear nuevas soluciones prácticas que te hagan sentir mejor. Tu familia estará dispuesta a ayudarte si se lo pides. Su respuesta será inmediata.
aries	2019-01-08	 Conviene que te aprietes el cinturón: un nuevo proyecto requerirá que tengas suficiente dinero para invertir o para poder tomar un camino determinado. En lo sentimental las cosas transcurrirán con normalidad, pero te inquietarán cuestiones sin importancia. No les des tantas vueltas.
tauro	2019-01-08	 Descubrirás un secreto que había permanecido oculto hasta ahora en toda tu familia y en un principio te sentirás descolocado. Pase lo que pase, no juzgues. Hay ciertas cosas que ahora mismo no entiendes, pero lo acabarás entendiendo todo. Tranquilo, se aclararán tus ideas muy pronto.
geminis	2019-01-08	 Te sientes algo bajo de energía y cada vez te cuesta más afrontar el día a día. Analiza qué es lo que te produce esa sensación y ponte manos a la obra para ponerle remedio ahora. Tal vez tengas que cortar por lo sano ciertas rutinas que no te satisfacen en absoluto.
cancer	2019-01-08	 Aunque has tenido algunos días de vacaciones, sientes que no has descansado lo suficiente. Necesitas dedicarte tiempo a ti mismo para que puedas llegar a conclusiones sinceras sobre algunas cuestiones que te inquietan. A veces es necesario hacer una pausa para seguir hacia delante.
leo	2019-01-08	 Eres una persona muy creativa y te gusta rodearte de personas que también lo sean. No te interesan, al menos en este momento, personas que llevan vidas muy convencionales. Cuidado: no descuides a tus amigos de siempre o podrías arrepentirte. Al fin y al cabo, forman parte de ti mismo.
virgo	2019-01-08	 A veces te dejas llevar demasiado por la opinión que tiene tu pareja sobre ciertos temas, pero no debes olvidar que lo que tú piensas también es importante. Tenlo en cuenta hoy antes de comprometerte con algo que luego podría hacer que te sintieras infeliz. Ceder sí, pero con consciencia.
libra	2019-01-08	 Te estás centrando demasiado en los que ahora mismo no son tus verdaderos objetivos. No debes distraerte de lo esencial: recupera tu propio centro antes de seguir tomando decisiones. Si alguien se acerca a ti hoy para importunarte, no se lo permitas. No es nadie que deba frenarte en ningún sentido.
escorpio	2019-01-08	 Esfuérzate por ser prudente hoy en el trabajo y no pierdas el tiempo con un compañero que estará más hablador de lo normal. Pronto podrían darse algunos cambios en el lugar en el que trabajas y uno de tus superiores está muy pendiente de ti. Sé inteligente y triunfarás.
sagitario	2019-01-08	 Tendrás que tratar hoy con una persona algo conflictiva que podría alterar tu paz interior y tu tranquilidad. No le sigas la corriente y céntrate en tus propios asuntos. Si caes en su juego te verás inmerso en una discusión que será del todo innecesaria. Aléjate de ella en cuanto puedas.
capricornio	2019-01-08	 Estás dando demasiadas cosas por sentadas y eso no te conviene precisamente en este momento en el que algo está empezando a cambiar en tu vida. No te hagas la víctima y ponte manos a la obra para crear tu propia vida. Sin excusas de ningún tipo.
acuario	2019-01-08	 Es esencial que hoy y en los días sucesivos separes bien tus intereses personales de los profesionales, sobre todo si tienes un negocio que se encuentra en un momento delicado. Pon toda tu energía en dar lo mejor de ti mismo y no te compliques innecesariamente.
piscis	2019-01-08	 Sabes de sobra que no estás siendo del todo sincero con tu pareja. Intenta mostrarte más comunicativo y ve abriéndote poco a poco a ella y vuestra relación mejorará. Muchas de vuestras discusiones podrían evitarse si fuerais más sinceros el uno con el otro.
aries	2019-01-09	 Podría estar a punto de abrirse una puerta que habías dado por cerrada. Si te llama alguien con quien trabajaste en el pasado, escucha muy atentamente lo que tenga que decirte. Él podría darte la pista que necesitas para dar el siguiente paso hacia tus verdaderos sueños.
tauro	2019-01-09	 Algo se está complicando más de la cuenta para un amigo cercano que empieza a pasarlo algo mal. Necesita tu ayuda, pero puede que no te la pida expresamente. Si le das un consejo, cíñete a tu propia experiencia y no teorices demasiado. Pon en práctica lo que predicas.
geminis	2019-01-09	 Ten paciencia y no te precipites a la hora de tomar una decisión que podría costarte cara. Si estás esperando una respuesta o una confirmación por parte de alguien, tranquilo: llegará en el momento adecuado. Es importante que tengas la mente ocupada y no te agobies por esa respuesta, será positiva.
cancer	2019-01-09	 Tu cuerpo te está mandando señales que no tienes que ignorar. Escúchalo y actúa en consecuencia. Si sientes una molestia que no se va desde hace días, ve al médico y resuélvelo cuanto antes. En el ámbito familiar hoy te mostrarás muy comunicativo.
leo	2019-01-09	 Cuidado: podrías meter la pata con un comentario desafortunado. Si llegas a ofender a alguien, pide perdón inmediatamente incluso si piensas que solo fue una broma sin importancia. En el trabajo serás muy productivo y lograrás terminar una tarea importante al tiempo requerido.
virgo	2019-01-09	 Tendrás que sacar tu lado más creativo para resolver un imprevisto que surgirá en cualquier momento. Lo importante es que no dramatices en ningún momento: enfócate siempre en encontrar las soluciones. Al terminar el día podrás compartir con tu familia algo importante y te sentirás muy bien.
libra	2019-01-09	 Deja de lamentarte por algo que pudo ser y no fue. Debes pensar en ti y tomar una decisión drástica. Si no estás contento con algún aspecto de tu vida, no te conformes con lo que tienes y busca nuevas opciones. Los comienzos siempre son complicados, pero pronto tendrás resultados satisfactorios.
escorpio	2019-01-09	 Después de una etapa algo difícil en el terreno laboral, podrían surgirte diversas ofertas. Quizá tengas que elegir entre la seguridad de un trabajo fijo o entre la incertidumbre de un puesto inestable, pero que colme tus inquietudes profesionales. Solo tú puedes decidir. Busca tu felicidad.
sagitario	2019-01-09	 A veces tratas de aparentar lo que no eres, pero no tienes por qué disfrazar tus emociones. Muéstrate tal y como eres y no tengas miedo al rechazo o a lo que puedan decir los demás. Hoy alguien podría ponerte en una tesitura algo complicada, aunque saldrás bastante airoso.
capricornio	2019-01-09	 Extrema las precauciones al hacer deporte o podrías sufrir una pequeña pero incómoda lesión. Precisamente en este momento es cuando más te conviene evitar riesgos innecesarios. Hay alguien que sabe más que tú: déjate asesorar y sigue sus consejos.
acuario	2019-01-09	 Un buen amigo te ayudará a recuperar la confianza en ti mismo. Tal vez te dé un nuevo enfoque de una situación concreta o te tienda la mano para que puedas llegar más fácilmente a uno de tus objetivos. No olvidarás fácilmente lo que esta persona hará por ti.
piscis	2019-01-09	 No vayas contando por ahí los problemas o asuntos pendientes que tienes con cierta persona o podrías meterte en problemas innecesarios. Tu vida íntima es tuya y debes protegerla. Aprovecha hoy para quedar con un buen amigo con el que puedas desahogarte.
aries	2019-01-10	 Sufrirás un pequeño bajón emocional que estará motivado por el cansancio acumulado y la falta de sueño. Estás comprometiéndote con más cosas de las que puedes abarcar y eso te está empezando a pasar factura. Reserva tiempo suficiente para descansar porque te conviene para tu equilibrio mental.
tauro	2019-01-10	 El orden en tu hogar debe ser prioritario estos días: dedica parte de la jornada a ordenar lo que tienes pendiente desde hace tiempo y así te sentirás mejor y tu vida podrá volver a fluir como mereces. Por lo demás, será un día marcado por un desencuentro.
geminis	2019-01-10	 Te sentirás pletórico y totalmente capaz de conseguir todos tus objetivos, pero ese exceso de confianza solo será momentáneo y pronto volverán a atraparte ciertos pensamientos negativos. La única batalla está en tu mente y tú puedes ganarla. Pero debes de tenerlo claro.
cancer	2019-01-10	 Hoy te sentirás particularmente disperso y algo desmotivado. No tendrás agilidad mental suficiente para concluir con éxito algunos asuntos o para tomar las decisiones correctas. No te esfuerces demasiado: asume que hay días más productivos que otros y no le des más vueltas.
leo	2019-01-10	 Estás en un momento muy bueno de tu vida, pero al mismo tiempo hay algún asunto que no termina de solucionarse. Solo tienes que clarificar tus ideas y no perder más el tiempo con asuntos que no son de tu interés. Tu estado ánimo pasará por altibajos y tendrás que saber gestionarlo.
